"S Zehlendorf (Berlin)","13.257672","52.430817","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S+U Alexanderplatz Bhf (Berlin)","13.411114","52.521521","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S+U Bundesplatz (Berlin)","13.328556","52.477656","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S+U Frankfurter Allee (Berlin)","13.474523","52.515072","teilweise Zugang ohne Stufen","Aufzug","nur U-Bahn","partially-barrier-free",,,,,,,,
"S+U Friedrichstr. Bhf (Berlin)","13.387028","52.520235","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S+U Gesundbrunnen Bhf (Berlin)","13.388036","52.549027","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S+U Heidelberger Platz (Berlin)","13.311703","52.480046","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S+U Hermannstr. (Berlin)","13.431492","52.467682","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S+U Innsbrucker Platz (Berlin)","13.341864","52.478105","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S+U Jannowitzbrücke (Berlin)","13.419649","52.514146","teilweise Zugang ohne Stufen","Aufzug","nur S-Bahn","not-barrier-free",,,,,,,,
"S+U Jungfernheide Bhf (Berlin)","13.298743","52.53017","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S+U Karl-Bonhoeffer-Nervenklinik (Berlin)","13.328893","52.577984","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S+U Lichtenberg Bhf (Berlin)","13.497038","52.510338","teilweise Zugang ohne Stufen","Rampe","nur S-Bahn, Regional- und Fernbahn",,,,,,,,,"und Fernbahn"
"S+U Neukölln (Berlin)","13.443216","52.469458","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S+U Pankow (Berlin)","13.410861","52.566597","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S+U Potsdamer Platz Bhf (Berlin)","13.377086","52.509331","teilweise Zugang ohne Stufen","Aufzug","nur S-Bahn, U-Bahn in Planung/Bau",,,,,,,,,
"S+U Rathaus Spandau (Berlin)","13.199678","52.534892","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S+U Rathaus Steglitz (Berlin)","13.320877","52.455883","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S+U Schönhauser Allee (Berlin)","13.415715","52.549215","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S+U Tempelhof (Berlin)","13.385192","52.470785","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
"S+U Warschauer Str. (Berlin)","13.449309","52.505647","teilweise Zugang ohne Stufen","Aufzug","nur U-Bahn","partially-barrier-free",,,,,,,,
"S+U Wedding (Berlin)","13.365839","52.542598","Zugang ohne Stufen","Aufzug",,"barrier-free",,,,,,,,
