lat	lon	title	description	icon	iconSize	iconOffset
41.9474989	-87.6536083	Addison - CTA Red	wheelchair node	/images/barrier-free.png	28,34	-8,-8
41.9474989	-87.6537370		wheelchair node	/images/barrier-free.png	28,34	-8,-8
41.9438056	-87.6636422	Southport	wheelchair node	/images/barrier-free.png	28,34	-8,-8
41.9436715	-87.6707919	Paulina	wheelchair node	/images/barrier-free.png	28,34	-8,-8
41.9328323	-87.6531136	Diversey - CTA Brown/Purple	wheelchair node	/images/barrier-free.png	28,34	-8,-8
41.9328323	-87.6531908		wheelchair node	/images/barrier-free.png	28,34	-8,-8
41.8890175	-87.6340827	Merchandise Mart CTA Station	wheelchair node	/images/barrier-free.png	28,34	-8,-8
41.8826132	-87.6339301	Washington/Wells CTA Station	wheelchair node	/images/barrier-free.png	28,34	-8,-8
41.8768170	-87.6285571	Library-State/Van Buren CTA Station	wheelchair node	/images/barrier-free.png	28,34	-8,-8
41.8322377	-87.6306737	Sox-35th - CTA Red	wheelchair node	/images/barrier-free.png	28,34	-8,-8
44.2352768	-76.6079013		wheelchair node	/images/barrier-free.png	28,34	-8,-8
44.2323656	-76.6089805		wheelchair node	/images/barrier-free.png	28,34	-8,-8
44.2319727	-76.6137928		wheelchair node	/images/barrier-free.png	28,34	-8,-8
44.2319106	-76.6099025		wheelchair node	/images/barrier-free.png	28,34	-8,-8
44.2321794	-76.6103360		wheelchair node	/images/barrier-free.png	28,34	-8,-8
44.2207108	-76.6153792		wheelchair node	/images/barrier-free.png	28,34	-8,-8
44.2205482	-76.6064907		wheelchair node	/images/barrier-free.png	28,34	-8,-8
44.2275187	-76.4978954		wheelchair node	/images/barrier-free.png	28,34	-8,-8
44.2266071	-76.4976093		wheelchair node	/images/barrier-free.png	28,34	-8,-8
42.3653329	-71.1037373	Central Square	wheelchair node	/images/barrier-free.png	28,34	-8,-8
42.3655359	-71.1037287	Central Square	wheelchair node	/images/barrier-free.png	28,34	-8,-8
40.712491	-74.0048571	Brooklyn Bridge-City Hall	wheelchair node	/images/barrier-free.png	28,34	-8,-8
40.7399262	-74.0027082		wheelchair node	/images/barrier-free.png	28,34	-8,-8
40.6935406	-73.9902949	Borough Hall Station	wheelchair node	/images/barrier-free.png	28,34	-8,-8
33.7562012	-84.3988428	Dome/GWCC/Philips Arena/CNN Center	wheelchair node	/images/barrier-free.png	28,34	-8,-8
33.7566008	-84.3967228	Dome/GWCC/Philips Arena/CNN Center	wheelchair node	/images/barrier-free.png	28,34	-8,-8
38.9991037	-77.097184	National Medical Center Metro Elevator	wheelchair node	/images/barrier-free.png	28,34	-8,-8
38.9835938	-77.0940643	Bethesda Metro Elevator	wheelchair node	/images/barrier-free.png	28,34	-8,-8
38.95855	-77.084879	Friendship Heights	wheelchair node	/images/barrier-free.png	28,34	-8,-8
